ernesto_cesaro_theorem$ ./pie
Enter the number of iterations( <= 100) used to estimate pi: 100
The generated random numbers with seed (35791246) are:
sum:0, GCD(54,87) = 3
sum:1, GCD(25,52) = 1
sum:2, GCD(79,37) = 1
sum:3, GCD(58,53) = 1
sum:3, GCD(6,60) = 6
sum:3, GCD(36,74) = 2
sum:4, GCD(68,55) = 1
sum:5, GCD(5,68) = 1
sum:6, GCD(17,9) = 1
sum:7, GCD(95,12) = 1
sum:7, GCD(38,38) = 38
sum:8, GCD(29,43) = 1
sum:8, GCD(40,30) = 10
sum:9, GCD(4,67) = 1
sum:10, GCD(73,71) = 1
sum:10, GCD(65,26) = 13
sum:11, GCD(9,41) = 1
sum:11, GCD(29,87) = 29
sum:12, GCD(29,38) = 1
sum:12, GCD(91,35) = 7
sum:13, GCD(50,79) = 1
sum:14, GCD(8,69) = 1
sum:15, GCD(85,12) = 1
sum:15, GCD(36,2) = 2
sum:15, GCD(21,30) = 3
sum:15, GCD(65,10) = 5
sum:15, GCD(20,46) = 2
sum:16, GCD(52,59) = 1
sum:17, GCD(75,56) = 1
sum:17, GCD(77,99) = 11
sum:17, GCD(78,93) = 3
sum:17, GCD(76,86) = 2
sum:17, GCD(34,56) = 2
sum:17, GCD(24,62) = 2
sum:17, GCD(94,66) = 2
sum:18, GCD(48,95) = 1
sum:18, GCD(44,8) = 4
sum:19, GCD(63,29) = 1
sum:20, GCD(19,50) = 1
sum:21, GCD(82,91) = 1
sum:22, GCD(31,46) = 1
sum:23, GCD(53,50) = 1
sum:24, GCD(91,4) = 1
sum:25, GCD(61,17) = 1
sum:26, GCD(11,37) = 1
sum:27, GCD(67,40) = 1
sum:27, GCD(30,42) = 6
sum:28, GCD(77,15) = 1
sum:28, GCD(98,100) = 2
sum:29, GCD(28,43) = 1

The estimate value of Pi is:3.162277

